image_count,generation_variant,generation_type,generator_members,test_model,relation,attack,metrics,planned_output
10,single_googlenet,single_model,googlenet,densenet161,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_single_googlenet_densenet161.csv
10,single_googlenet,single_model,googlenet,googlenet,white_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_single_googlenet_googlenet.csv
10,single_googlenet,single_model,googlenet,vgg16,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_single_googlenet_vgg16.csv
10,single_googlenet,single_model,googlenet,mobilenet_v3_large,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_single_googlenet_mobilenet_v3_large.csv
10,single_googlenet,single_model,googlenet,efficientnet_b0,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_single_googlenet_efficientnet_b0.csv
10,single_googlenet,single_model,googlenet,convnext_tiny,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_single_googlenet_convnext_tiny.csv
10,single_googlenet,single_model,googlenet,vit_b_16,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_single_googlenet_vit_b_16.csv
10,full_EnModel,ensemble,inception_v3+densenet161+googlenet,inception_v3,ensemble_member,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_full_EnModel_inception_v3.csv
10,full_EnModel,ensemble,inception_v3+densenet161+googlenet,densenet161,ensemble_member,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_full_EnModel_densenet161.csv
10,full_EnModel,ensemble,inception_v3+densenet161+googlenet,googlenet,ensemble_member,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_full_EnModel_googlenet.csv
10,full_EnModel,ensemble,inception_v3+densenet161+googlenet,vgg16,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_full_EnModel_vgg16.csv
10,full_EnModel,ensemble,inception_v3+densenet161+googlenet,mobilenet_v3_large,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_full_EnModel_mobilenet_v3_large.csv
10,full_EnModel,ensemble,inception_v3+densenet161+googlenet,efficientnet_b0,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_full_EnModel_efficientnet_b0.csv
10,full_EnModel,ensemble,inception_v3+densenet161+googlenet,convnext_tiny,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_full_EnModel_convnext_tiny.csv
10,full_EnModel,ensemble,inception_v3+densenet161+googlenet,vit_b_16,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_full_EnModel_vit_b_16.csv
10,leave_one_out_without_inception_v3,leave_one_out,densenet161+googlenet,inception_v3,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_leave_one_out_without_inception_v3_inception_v3.csv
10,leave_one_out_without_inception_v3,leave_one_out,densenet161+googlenet,densenet161,ensemble_member,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_leave_one_out_without_inception_v3_densenet161.csv
10,leave_one_out_without_inception_v3,leave_one_out,densenet161+googlenet,googlenet,ensemble_member,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_leave_one_out_without_inception_v3_googlenet.csv
10,leave_one_out_without_inception_v3,leave_one_out,densenet161+googlenet,vgg16,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_leave_one_out_without_inception_v3_vgg16.csv
10,leave_one_out_without_inception_v3,leave_one_out,densenet161+googlenet,mobilenet_v3_large,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_leave_one_out_without_inception_v3_mobilenet_v3_large.csv
10,leave_one_out_without_inception_v3,leave_one_out,densenet161+googlenet,efficientnet_b0,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_leave_one_out_without_inception_v3_efficientnet_b0.csv
10,leave_one_out_without_inception_v3,leave_one_out,densenet161+googlenet,convnext_tiny,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_leave_one_out_without_inception_v3_convnext_tiny.csv
10,leave_one_out_without_inception_v3,leave_one_out,densenet161+googlenet,vit_b_16,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_leave_one_out_without_inception_v3_vit_b_16.csv
10,leave_one_out_without_densenet161,leave_one_out,inception_v3+googlenet,inception_v3,ensemble_member,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_leave_one_out_without_densenet161_inception_v3.csv
10,leave_one_out_without_densenet161,leave_one_out,inception_v3+googlenet,densenet161,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_leave_one_out_without_densenet161_densenet161.csv
10,leave_one_out_without_densenet161,leave_one_out,inception_v3+googlenet,googlenet,ensemble_member,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_leave_one_out_without_densenet161_googlenet.csv
10,leave_one_out_without_densenet161,leave_one_out,inception_v3+googlenet,vgg16,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_leave_one_out_without_densenet161_vgg16.csv
10,leave_one_out_without_densenet161,leave_one_out,inception_v3+googlenet,mobilenet_v3_large,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_leave_one_out_without_densenet161_mobilenet_v3_large.csv
10,leave_one_out_without_densenet161,leave_one_out,inception_v3+googlenet,efficientnet_b0,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_leave_one_out_without_densenet161_efficientnet_b0.csv
10,leave_one_out_without_densenet161,leave_one_out,inception_v3+googlenet,convnext_tiny,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_leave_one_out_without_densenet161_convnext_tiny.csv
10,leave_one_out_without_densenet161,leave_one_out,inception_v3+googlenet,vit_b_16,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_leave_one_out_without_densenet161_vit_b_16.csv
10,leave_one_out_without_googlenet,leave_one_out,inception_v3+densenet161,inception_v3,ensemble_member,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_leave_one_out_without_googlenet_inception_v3.csv
10,leave_one_out_without_googlenet,leave_one_out,inception_v3+densenet161,densenet161,ensemble_member,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_leave_one_out_without_googlenet_densenet161.csv
10,leave_one_out_without_googlenet,leave_one_out,inception_v3+densenet161,googlenet,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_leave_one_out_without_googlenet_googlenet.csv
10,leave_one_out_without_googlenet,leave_one_out,inception_v3+densenet161,vgg16,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_leave_one_out_without_googlenet_vgg16.csv
10,leave_one_out_without_googlenet,leave_one_out,inception_v3+densenet161,mobilenet_v3_large,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_leave_one_out_without_googlenet_mobilenet_v3_large.csv
10,leave_one_out_without_googlenet,leave_one_out,inception_v3+densenet161,efficientnet_b0,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_leave_one_out_without_googlenet_efficientnet_b0.csv
10,leave_one_out_without_googlenet,leave_one_out,inception_v3+densenet161,convnext_tiny,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_leave_one_out_without_googlenet_convnext_tiny.csv
10,leave_one_out_without_googlenet,leave_one_out,inception_v3+densenet161,vit_b_16,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_10img_leave_one_out_without_googlenet_vit_b_16.csv
100,single_inception_v3,single_model,inception_v3,inception_v3,white_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_single_inception_v3_inception_v3.csv
100,single_inception_v3,single_model,inception_v3,densenet161,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_single_inception_v3_densenet161.csv
100,single_inception_v3,single_model,inception_v3,googlenet,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_single_inception_v3_googlenet.csv
100,single_inception_v3,single_model,inception_v3,vgg16,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_single_inception_v3_vgg16.csv
100,single_inception_v3,single_model,inception_v3,mobilenet_v3_large,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_single_inception_v3_mobilenet_v3_large.csv
100,single_inception_v3,single_model,inception_v3,efficientnet_b0,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_single_inception_v3_efficientnet_b0.csv
100,single_inception_v3,single_model,inception_v3,convnext_tiny,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_single_inception_v3_convnext_tiny.csv
100,single_inception_v3,single_model,inception_v3,vit_b_16,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_single_inception_v3_vit_b_16.csv
100,single_densenet161,single_model,densenet161,inception_v3,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_single_densenet161_inception_v3.csv
100,single_densenet161,single_model,densenet161,densenet161,white_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_single_densenet161_densenet161.csv
100,single_densenet161,single_model,densenet161,googlenet,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_single_densenet161_googlenet.csv
100,single_densenet161,single_model,densenet161,vgg16,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_single_densenet161_vgg16.csv
100,single_densenet161,single_model,densenet161,mobilenet_v3_large,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_single_densenet161_mobilenet_v3_large.csv
100,single_densenet161,single_model,densenet161,efficientnet_b0,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_single_densenet161_efficientnet_b0.csv
100,single_densenet161,single_model,densenet161,convnext_tiny,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_single_densenet161_convnext_tiny.csv
100,single_densenet161,single_model,densenet161,vit_b_16,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_single_densenet161_vit_b_16.csv
100,single_googlenet,single_model,googlenet,inception_v3,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_single_googlenet_inception_v3.csv
100,single_googlenet,single_model,googlenet,densenet161,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_single_googlenet_densenet161.csv
100,single_googlenet,single_model,googlenet,googlenet,white_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_single_googlenet_googlenet.csv
100,single_googlenet,single_model,googlenet,vgg16,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_single_googlenet_vgg16.csv
100,single_googlenet,single_model,googlenet,mobilenet_v3_large,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_single_googlenet_mobilenet_v3_large.csv
100,single_googlenet,single_model,googlenet,efficientnet_b0,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_single_googlenet_efficientnet_b0.csv
100,single_googlenet,single_model,googlenet,convnext_tiny,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_single_googlenet_convnext_tiny.csv
100,single_googlenet,single_model,googlenet,vit_b_16,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_single_googlenet_vit_b_16.csv
100,full_EnModel,ensemble,inception_v3+densenet161+googlenet,inception_v3,ensemble_member,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_full_EnModel_inception_v3.csv
100,full_EnModel,ensemble,inception_v3+densenet161+googlenet,densenet161,ensemble_member,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_full_EnModel_densenet161.csv
100,full_EnModel,ensemble,inception_v3+densenet161+googlenet,googlenet,ensemble_member,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_full_EnModel_googlenet.csv
100,full_EnModel,ensemble,inception_v3+densenet161+googlenet,vgg16,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_full_EnModel_vgg16.csv
100,full_EnModel,ensemble,inception_v3+densenet161+googlenet,mobilenet_v3_large,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_full_EnModel_mobilenet_v3_large.csv
100,full_EnModel,ensemble,inception_v3+densenet161+googlenet,efficientnet_b0,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_full_EnModel_efficientnet_b0.csv
100,full_EnModel,ensemble,inception_v3+densenet161+googlenet,convnext_tiny,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_full_EnModel_convnext_tiny.csv
100,full_EnModel,ensemble,inception_v3+densenet161+googlenet,vit_b_16,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_full_EnModel_vit_b_16.csv
100,leave_one_out_without_inception_v3,leave_one_out,densenet161+googlenet,inception_v3,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_leave_one_out_without_inception_v3_inception_v3.csv
100,leave_one_out_without_inception_v3,leave_one_out,densenet161+googlenet,densenet161,ensemble_member,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_leave_one_out_without_inception_v3_densenet161.csv
100,leave_one_out_without_inception_v3,leave_one_out,densenet161+googlenet,googlenet,ensemble_member,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_leave_one_out_without_inception_v3_googlenet.csv
100,leave_one_out_without_inception_v3,leave_one_out,densenet161+googlenet,vgg16,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_leave_one_out_without_inception_v3_vgg16.csv
100,leave_one_out_without_inception_v3,leave_one_out,densenet161+googlenet,mobilenet_v3_large,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_leave_one_out_without_inception_v3_mobilenet_v3_large.csv
100,leave_one_out_without_inception_v3,leave_one_out,densenet161+googlenet,efficientnet_b0,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_leave_one_out_without_inception_v3_efficientnet_b0.csv
100,leave_one_out_without_inception_v3,leave_one_out,densenet161+googlenet,convnext_tiny,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_leave_one_out_without_inception_v3_convnext_tiny.csv
100,leave_one_out_without_inception_v3,leave_one_out,densenet161+googlenet,vit_b_16,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_leave_one_out_without_inception_v3_vit_b_16.csv
100,leave_one_out_without_densenet161,leave_one_out,inception_v3+googlenet,inception_v3,ensemble_member,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_leave_one_out_without_densenet161_inception_v3.csv
100,leave_one_out_without_densenet161,leave_one_out,inception_v3+googlenet,densenet161,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_leave_one_out_without_densenet161_densenet161.csv
100,leave_one_out_without_densenet161,leave_one_out,inception_v3+googlenet,googlenet,ensemble_member,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_leave_one_out_without_densenet161_googlenet.csv
100,leave_one_out_without_densenet161,leave_one_out,inception_v3+googlenet,vgg16,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_leave_one_out_without_densenet161_vgg16.csv
100,leave_one_out_without_densenet161,leave_one_out,inception_v3+googlenet,mobilenet_v3_large,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_leave_one_out_without_densenet161_mobilenet_v3_large.csv
100,leave_one_out_without_densenet161,leave_one_out,inception_v3+googlenet,efficientnet_b0,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_leave_one_out_without_densenet161_efficientnet_b0.csv
100,leave_one_out_without_densenet161,leave_one_out,inception_v3+googlenet,convnext_tiny,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_leave_one_out_without_densenet161_convnext_tiny.csv
100,leave_one_out_without_densenet161,leave_one_out,inception_v3+googlenet,vit_b_16,held_out_black_box,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_leave_one_out_without_densenet161_vit_b_16.csv
100,leave_one_out_without_googlenet,leave_one_out,inception_v3+densenet161,inception_v3,ensemble_member,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_leave_one_out_without_googlenet_inception_v3.csv
100,leave_one_out_without_googlenet,leave_one_out,inception_v3+densenet161,densenet161,ensemble_member,MI-YFGSM in Y channel + reversible UV embedding,"success_rate, conditional_success_rate, PSNR, SSIM, L2, L_inf, 95% CI",route_c_100img_leave_one_out_without_googlenet_densenet161.csv
